Programming language,counter
C++,569
C,443
Java,426
C#,411
JavaScript,318
MS SQL,286
Linux,272
HTML,227
ASP.NET,198
MySQL,170
jQuery,170
PHP,144
Android,138
Word,137
Excel,135
Visual C++,123
Oracle,102
PowerPoint,102
Visual Basic .net,93
Visual C#,90
Visual Studio .net,89
Objective-C,89
JSP,82
Python,82
C++.Net,81
AJAX,79
iOS,74
XML,67
Outlook,66
Visual Studio,65
Visual Basic,63
TCP/IP,51
Windows 7,50
Spring,47
J2EE,46
DHTML,45
HTTP,40
Windows Server 2008,40
MFC,39
Windows XP,34
Windows Server 2012,33
Delphi,32
OOP,32
PL/SQL,32
Windows 2000,31
Struts,31
SWIFT,30
ASP,28
Tomcat,27
LabVIEW,27
WinForm,26
AutoCAD,26
Windows 8,25
JDBC,25
Mac OS,24
UML,22
VBScript,22
UNIX,22
Windows NT,21
PostgreSQL,21
Perl,20
PLC,19
Socket,18
中文打字20~50,18
Servlets,18
Windows 98,16
XML Web services,16
Windows 2003,15
J2SE,15
DB2,14
ANSI SQL,14
Project,14
Visio,14
WIN CE,14
MCU,14
Access,12
Assembly,12
Unity3D,11
OOAD,11
IIS,11
Apple,11
Shell,11
CGI,11
XHTML,11
FTP,10
Database Management,10
Flash,10
Win32,9
英文打字20~50,9
UDP,9
Ethernet,8
Mac/Macintosh,8
RDBMS,8
ARM,8
Dreamweaver,8
ODBC,7
Windows Mobile,7
Flex,7
Adobe Photoshop,6
ADO,6
Matlab,6
JSF,6
VBA,6
Systems Analysis,6
Pro/E,6
DirectX,6
鼎新,6
Junit,5
Web Master/Developer,5
Ruby,5
DOS,5
STL,5
SolidWorks,5
Internet Explorer,5
Drivers,5
CAM,5
FreeBSD,4
SOAP,4
Firewall,4
VLAN,4
GIS,4
中文打字50~75,4
英文打字50~75,4
DHCP,4
Solaris,4
RTSP,4
Firmware,4
OS X,4
Illustrator,3
Windows 95,3
Dbase,3
Visual J++,3
DNS,3
LAN,3
LDAP,3
PPPoE,3
SAN,3
ssh,3
WAN,3
FrontPage,3
CIM,3
AIX,3
Bluetooth,3
ASIC,3
PowerBuilder,3
R,3
ActiveX,3
TCL,3
WebLogic,3
Mantis,3
EJB,3
Swift,3
SAP,3
Informix,3
COBOL,3
WLAN,3
Adobe Acrobat,3
CVS,2
Data Modeling,2
Visual J#,2
VRML,2
VxWorks,2
Hubs/ Routers,2
Load Balancing,2
MPLS,2
Routers,2
VPN,2
PhotoImpact,2
EDA,2
Verilog,2
iptables,2
Apache SOAP,2
LoadRunner,2
DSP,2
RF,2
MES,2
ActionScript,2
VoIP,2
XSL,2
Windows Vista,2
CorelDraw,2
JMS,2
Microsoft Exchange,2
Protel,2
Fox Pro,2
Database Administrator,2
IMS,2
Fireworks,2
Microsoft SmartPhone,2
Microsoft SharePoint,2
FPGA,2
AutoCad 2D,2
Electronic Payment,1
NDS/Novell Directory Services,1
Netbios,1
Bridges,1
Hubs,1
Security,1
QuickTest Professional,1
Rational Performance,1
ETL,1
Visual SourceSafe,1
Toad,1
OneNote,1
Catia,1
iDeaS,1
Unigraphics,1
Solid Edge,1
Synopsys,1
Bugzilla,1
ADA,1
Cold Fusion,1
Vmware,1
USB技術,1
Test Scripts,1
WebSphere,1
Systems Analyst,1
Mobile phone,1
Sybase,1
SYSBASE,1
SNMP,1
Silverlight,1
Interbase,1
SAS,1
Sniffer,1
鼎基 ERP,1
Base,1
BizTalk,1
Clipper,1
Quality Control,1
WebLoad,1
TK,1
AutoCad 3D,1
ArcGis,1
SDLC,1
DDK,1
Systems Administration,1
QTP,1
VMS,1
Lotus Notes,1
JCL,1
e-commerce,1
中文打字20以下,1
Strata,1
3ds Max,1
After Effects,1
Authorware,1
Director,1
Freehand,1
MAYA,1
Premiere,1
OrCAD,1
PADS,1
Cadence Allegro,1
Developer/ Designer 2000,1
ABAQUS,1
正航,1
Telecom,1
