 ,131680
說,7094
BMW,6701
買,5805
好,5569
真的,5093
！,4858
去,4434
應該,4427
到,4194
？,4139
比較,4105
萬,3957
....,3843
一下,3588
車,3541
後,3495
原廠,3492
人,3464
小弟,3436
問題,3399
開,3395
想,3301
也是,3019
引擎,2603
車子,2556
再,2548
一台,2514
現在,2501
看到,2315
台灣,2285
話,2283
感覺,2214
一個,2212
請問,2065
喔,1954
時,1953
年,1946
請,1846
車主,1832
系列,1811
.....,1783
已經,1773
保養,1749
建議,1740
啊,1683
謝謝,1679
月,1624
一點,1619
不知道,1605
B,1564
知道,1557
跑,1513
價格,1502
的是,1442
錢,1432
一定,1405
目前,1399
HTTP,1354
之前,1341
找,1340
不錯,1340
做,1324
M,1306
朋友,1303
COM,1292
的車,1289
小,1256
柴油,1227
WWW,1212
分享,1205
10,1171
機油,1171
感謝,1162
賣,1157
X5,1153
這種,1133
°,1128
以上,1123
前,1118
考慮,1115
有人,1110
看看,1102
時間,1093
喜歡,1082
只,1070
M3,1068
配備,1058
真是,1039
參考,1038
一次,1034
：,1027
改,1003
使用,1002
不用,989
太,989
是否,986
一些,977
美國,966
......,960
差,959
只能,956
新車,948
中,947
系統,946
直接,942
需要,926
業務,920
520D,905
東西,903
之後,899
換,897
希望,893
這是,892
恭喜,891
變速,890
選配,888
空間,887
馬力,872
S,854
公里,850
最,848
不到,843
實在,842
便宜,837
X6,823
下,823
約,822
不知,809
發現,793
維修,790
選擇,788
X3,781
左右,776
今天,772
20,766
聽,763
駕駛,762
30,760
設計,756
德,756
樓主,753
先,752
零件,749
MINI,748
F10,742
X1,742
最後,741
處理,739
油耗,738
版,735
台,733
花,733
THE,728
保固,717
經驗,716
汎,713
德國,708
AUDI,703
公司,693
都會,689
輪胎,687
耶,686
這台,685
進口,684
雙,682
價錢,674
選,663
好車,658
是不是,655
電腦,652
提供,651
100,648
交車,646
照片,645
開車,645
無法,643
狀況,639
掉,638
汽車,637
動力,633
奢侈,632
地方,630
﹒,630
廠,626
改裝,624
加,621
箱,621
路上,616
車友,615
E60,613
01,610
油,608
吋,601
以後,599
讚,598
賺,594
太多,594
操控,592
認為,587
貴,585
功能,582
業代,581
來的,581
L,580
注意,575
貼,572
更換,566
一部,566
☆,564
低,562
服務,557
要買,555
完全,554
好看,553
車款,553
聲音,552
內裝,551
不好,549
遇到,548
T,546
拍,546
一起,545
二手,544
度,544
E92,542
320I,540
排氣,538
煞車,538
‧,538
一堆,536
吃,535
買車,534
還要,532
改款,531
國產車,530
I,529
白色,528
SPORT,527
安全,526
正常,524
車的,523
M5,521
本來,521
也可,519
出現,518
記得,518
性能,517
發生,512
後座,509
已,508
一年,507
超過,507
熄火,506
底盤,501
設定,498
真,498
渦輪,497
相信,494
當初,493
方向盤,493
卻,493
台北,490
加速,490
方式,488
以前,488
很大,487
事,485
看過,485
討論,485
至少,477
12,477
PM,474
少,473
總代理,470
檢查,470
文,469
胎,469
品牌,469
E46,467
E90,466
油門,466
算,464
牌,464
請教,462
停,460
重點,459
舒適,458
開箱,458
手排,458
BENZ,457
沒錯,455
原本,455
OK,455
國外,450
整個,450
現金,449
以為,448
特別,447
335,446
回來,446
冷氣,446
入手,445
40,443
IS,443
原因,443
Z4,440
18,439
最好,438
50,437
回,437
C,436
還好,436
尤其,436
漂亮,434
TOURING,434
.......,433
車身,432
自動,431
文章,429
裡面,429
就要,428
燈,428
15,428
加油,427
資料,426
車輛,426
影響,426
麻煩,425
外觀,425
款,425
車廠,423
情況,423
